Time_s,GS_ROM,GS_SVA,GS_MAU,GS_REU,Total_Throughput_Gbps,Active_ISL_Links,Active_SGL_Links
11530.0,623.6519842496002,166.92181611768174,616.0638641382654,370.52489640613794,1777.1625609116852,66,6
11540.0,624.5490488019457,166.39291674231458,616.0638870756335,370.5248947452349,1777.5307473651287,67,6
11550.0,625.4429669614691,165.86931561932877,616.0639100238017,370.52489306962843,1777.901085674228,67,6
11560.0,626.3337831536702,165.350579756682,616.0639329827458,370.5248913792478,1778.2731872723457,67,6
11570.0,627.2215413269627,164.83591172050063,616.0639559524487,370.52488967407874,1778.6462986739907,66,6
11580.0,628.1062849389466,164.3241786773603,616.0639789329061,370.5248879540997,1779.0193305033126,66,6
11590.0,628.988056944015,163.81395705321464,616.0640019240476,370.5248862192876,1779.3909021405648,66,6
11600.0,629.8668997823646,163.30358807601334,616.0640249259152,370.5248844696211,1779.7593972539144,66,6
11610.0,630.7428553700231,162.7912402835624,616.0640479384514,370.52488270507575,1780.1230262971126,66,6
11620.0,631.615965090127,162.27497595334157,616.0640709616588,370.52488092563055,1780.4798929307576,67,6
11630.0,632.4862697851723,161.7528191163928,616.0640939954939,370.5248791312618,1780.8280620283208,67,6
11640.0,633.3538097502518,161.2228232688307,616.0641170399709,370.5248773219383,1781.1656273809917,67,6
11650.0,634.2186247271752,160.68313710731667,616.0641400950408,370.5248754976659,1781.4907774271987,67,6
11660.0,635.0807538994222,160.13206665826115,616.0641631606921,370.524873658393,1781.8018573767686,67,6
11670.0,635.9402358878933,159.5681321335296,616.0641862369071,370.52487180410765,1782.0974260624375,67,6
11680.0,636.7971087473112,158.99011781351243,616.0642093236818,370.5248699347854,1782.3763058192908,67,6
11690.0,637.6514099634289,158.397113299825,616.0642324209721,370.5248680504065,1782.6376237346326,67,6
11700.0,638.5031764506956,157.78854463770983,616.0642555287799,370.524866150946,1782.8808427681315,67,6
11710.0,639.3524445505692,157.1641940974309,616.0642786470484,370.5248642363826,1783.1057815314311,67,6
11720.0,640.1992500304259,156.52420781265815,616.0643017757994,370.52486230669365,1783.3126219255773,67,6
11730.0,641.0436280828321,155.86909096702277,616.0643249150029,370.52486036185724,1783.5019043267148,67,6
